
99|S1ABRO01EQ|Wilayah Surabaya|CAPEM KALI TIDU|100|ATM TUNAI|PERTOKOAN|-7.130429,111.767955|JL. RAYA PANJUNAN KM 15 KALITIDU, BOJONEGORO, 62152|PANJUNAN|KALITIDU|KAB. BOJONEGORO|Jawa Timur|62152
100|S1ABRO02VK|Wilayah Surabaya|BOJONEGORO 2|100|ATM TUNAI|INSTANSI/KANTOR|-7.152338,111.880951|JL. PANGLIMA SUDIRMAN NO 17 BOJONEGORO, 62111|KADIPATEN|BOJONEGORO|KAB. BOJONEGORO|Jawa Timur|62111
101|S1ATRGC005|Wilayah BSd|CDM KK KISAMAUN|10|ATM CDM|PERTOKOAN|-6.179710,106.630304|JL. KI ASNAWI NO. 62 PASAR LAMA, TANGERANG|SUKASARI|TANGERANG|Kota Tangerang|Banten|15118
102|S1ABSDC011|Wilayah BSd|CDM KCU BSD|10|ATM CDM|INSTANSI/KANTOR|-6.275952,106.669636|JL. M.H. THAMRIN, BSD, TANGERANG (RUKO BSD SEKTOR VII BLOK L-24 )|LENGKONG WETAN|SERPONG|Kota Tangerang Selatan|Banten|15322
177|S1ABWI01EO|Wilayah Malang|CABANG BANYUWANGI 1|100|ATM TUNAI|INSTANSI/KANTOR|-8.227716,144.369274|JL. BRIGJEN KATAMSO NO. 46  BANYUWANGI|PENGANJURAN|BANYUWANGI|KAB. BANYUWANGI|Jawa Timur|68416
178|S1ABWI02MI|Wilayah Malang|KETAPANG|100|ATM TUNAI|TRANSPORTASI|-8.1427258,114.3994593|JL. GATOT SUBROTO KM 7 KETAPANG|KETAPANG|KALIPURO|KAB. BANYUWANGI|Jawa Timur|68455
179|S1ABWI02OZ|Wilayah Malang|CAPEM GENTENG 1|100|ATM TUNAI|PERTOKOAN|-8.363788,114.149795|JL. GAJAH MADA NO. 191 DSN GENTENG KULON, BWI|GENTENG KULON|GENTENG|KAB. BANYUWANGI|Jawa Timur|68465
180|S1ABWI03QQ|Wilayah Malang|CABANG BANYUWANGI 2|100|ATM TUNAI|INSTANSI/KANTOR|-8.210476,144.377324|JL. BANTERANG NO. 46 BANYUWANGI|GENTENG WETAN|GENTENG|KAB. BANYUWANGI|Jawa Timur|68465
181|S1ABWI03QR|Wilayah Malang|TELKOM ROGOJAMPI|50|ATM TUNAI|INSTANSI/KANTOR|8.3101148,114.2919703|JL. RAYA ROGOJAMPI BANYUWANGI|ROGOJAMPI|ROGOJAMPI|KAB. BANYUWANGI|Jawa Timur|68462
182|S1ABWI12II|Wilayah Malang|BNI SYARIAH BANYUWANGI|50|ATM TUNAI|PERTOKOAN|8.214198,114.370851|RUKO PESONA INDAH JL. PB SUDIRMAN BANYUWANGI |KAMPUNG MELAYU|BANYUWANGI|KAB. BANYUWANGI|Jawa Timur|68412
183|S1ABWI12LL|Wilayah Malang|UBI CLURING|50|ATM TUNAI|PENDIDIKAN|8.4132676,114.2503667|JL. RAYA BENCULUK CLURING BANYUWANGI|BENCULUK|CLURING|KAB. BANYUWANGI|Jawa Timur|68482
184|S1ABWIK001|Wilayah Malang|CASHLESS KLN GENTENG|50|ATM NON TUNAI|PERTOKOAN|-8.363788,114.149795|JL. BANTERANG NO. 46 BANYUWANGI|GENTENG WETAN|GENTENG|KAB. BANYUWANGI|Jawa Timur|68465
186|S1ACJR05BN|Wilayah Bandung|TOKO LILY|100|ATM TUNAI|PERTOKOAN|-6.821345,107.141644|Jalan Mangunsarkoro No. 2, Kel. Pamoyanan Kec. Cianjur, Kab. Cianjur, Jawa Barat|Kel. Solokpandan|Cianjur|Kab. Cianjur|Jawa Barat|43214
187|S1ACLP12DD|Wilayah Yogyakarta|BANTARSARI|50|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|-7.558419,108.833435|Jl. Raya Kawunganten No. 109 Kab. Cilacap.|||Kab. Cilacap|Jawa Tengah|#N/A
188|S1ACRB05BR|Wilayah Bandung|TOKO EMAS PANTES|100|ATM TUNAI|PERTOKOAN|-6.74951,108.561401|Jalan Raya Ciremai No. 118 Cirebon|Kel. Larangan|Harjamukti|Kab. Indramayu|Jawa Barat|45141
189|S1ACRB05BS|Wilayah Bandung|KLN TEGALWANGI 2|50|ATM TUNAI|PERTOKOAN|-6,833747 , 108,215493|Jl. Raya Tegalwangi No. 85 Tegalwangi Weru|Tegalwangi|Weru|Kab. Indramayu|Jawa Barat|45154
190|S1ACRB12CC|Wilayah Bandung|KLN LOSARI 3|50|ATM TUNAI|PARIWISATA|-6,653392 , 108,412077|Jalan Soekarno-Hatta 77, Ds. Losari Lor Kec. Losari, Kab. Cirebon||Losari|Kab. Cirebon|Jawa Barat|45192
191|S1ACRB12DJ|Wilayah Bandung|STASIUN KA CIREBON|100|ATM TUNAI|TRANSPORTASI|-6.700753,108.55711|Jl. Stasiun Cirebon No.01 Desa/kel. Kebon baru Kec. Kejaksan Kota Cirebon|Kebon baru|Kejaksan|Kota Cirebon|Jawa Barat|45122
192|S1ACRB12DK|Wilayah Bandung|STASIUN KA PRUJAKAN|100|ATM TUNAI|TRANSPORTASI|-6.719357,108.558676|Jl. Nyimas Gandasari No.01 Desa/kel. Pekalangan Kec. Pekalipan Kota Cirebon|Kel. Pekalangan|Pekalipan|Kota Cirebon|Jawa Barat|45118
193|S1ACRB12DO|Wilayah Bandung|CIREBON DRIVE THRU|100|ATM TUNAI DT|MALL/PLAZA|-6.718057,108.55093|Jl. Dr. Cipto Mangunkusumo No.409 Kota Cirebon|Kesambi|Kesambi|Kota Cirebon|Jawa Barat|45131
194|S1ADKB07AG|Wilayah Senayan|FOOD GARDEN KEMANG|50|ATM TUNAI|HOTEL/RESTORAN|-6.258031, 106.813442|Jl. Kemang 1 No. 10, Bangka, Mampang Prapatan, Jakarta Selatan 12730|Kel. Bangka|Mampang Prapatan|Kota Jakarta Selatan|DKI JAKARTA|12730
195|S1ADKB07AH|Wilayah Senayan|KLN GRAND INDONESIA 1|100|ATM TUNAI|MALL/PLAZA|-6.195772, 106.822114|Jl. M.H Thamrin No.1, Kebon Melati, Tanah Abang, Jakarta Pusat 10230|Kel. Kebon Melati|Tanah Abang|Kota Jakarta Pusat|DKI JAKARTA|10230
196|S1ADKB07AI|Wilayah Senayan|KLN GRAND INDONESIA 2|100|ATM TUNAI|MALL/PLAZA|-6.195772, 106.822114|Jl. M.H Thamrin No.1, Kebon Melati, Tanah Abang, Jakarta Pusat 10230|Kel. Kebon Melati|Tanah Abang|Kota Jakarta Pusat|DKI JAKARTA|10230
197|S1ADKB07AJ|Wilayah Senayan|KLN GRAND INDONESIA 3|20|ATM TUNAI|MALL/PLAZA|-6.195772, 106.822114|Jl. M.H Thamrin No.1, Kebon Melati, Tanah Abang, Jakarta Pusat 10230|Kel. Kebon Melati|Tanah Abang|Kota Jakarta Pusat|DKI JAKARTA|10230
198|S1ADKB07AK|Wilayah Senayan|KAMPUS ABFI PERBANAS 2|50|ATM TUNAI|INSTANSI/KANTOR|-6.217307, 106.828436|Jl. Perbanas, Karet Kuningan, Setiabudi, Jakarta Selatan 12940|Kel. Karet Kuningan|Setiabudi|Kota Jakarta Selatan|DKI JAKARTA|12940
199|S1ADKB07AL|Wilayah Senayan|GEDUNG DJAKARTA THEATER|100|ATM TUNAI|MALL/PLAZA|-6.18672, 106.823892|Jl. M.H.Thamrin No.9, Kebon Sirih, Menteng, Jakarta Pusat 10340|Kel. Kebon Sirih|Menteng|Kota Jakarta Pusat|DKI JAKARTA|10340
200|S1ADKB07AM|Wilayah Senayan|SPBU PEJOMPONGAN|50|ATM TUNAI|SPBU/REST AREA|-6.202283, 106.806618|Jl. Penjernihan 1, Bendungan Hilir, Tanah Abang, Jakarta Pusat 10210|Kel. Bendungan Hilir|Tanah Abang|Kota Jakarta Pusat|DKI JAKARTA|10210
201|S1ADKB07AN|Wilayah Senayan|THE BELAGIO BOUTIQUE MALL|50|ATM TUNAI|INSTANSI/KANTOR|-6.22844, 106.827922|Jl. Mega Kuningan kav. E4, Kuningan Timur, Setiabudi, Jakarta Selatan 12950|Kel. Kuningan Timur|Setiabudi|Kota Jakarta Selatan|DKI JAKARTA|12950
202|S1ADKB07AO|Wilayah Senayan|KLN WISMA MULIA 3|100|ATM TUNAI|INSTANSI/KANTOR|-6.234861, 106.823368|Jl. Gatot Subroto No. 42, Kuningan Barat, Mampang Prapatan, Jakarta Selatan 12710|Kel. Kuningan Barat|Mampang Prapatan|Kota Jakarta Selatan|DKI JAKARTA|12710
203|S1ADKB11AH|Wilayah Senayan|GEDUNG PUDIKLAT BPK RI|50|ATM TUNAI|INSTANSI/KANTOR|-6.25614, 106.858914|Jl. Binawarga II, Rawajati, Pancoran, Jakarta Selatan 12750|Kel. Rawajati|Pancoran|Kota Jakarta Selatan|DKI JAKARTA|12750
204|S1ADKB12FF|Wilayah Senayan|KUNINGAN CITY-2|50|ATM TUNAI|MALL/PLAZA|-6.224634, 106.82981|Kuningan City Mall, Jl. Prof. Dr. Satrio Kav. 18, Karet Kuningan, Setiabudi, Jakarta Selatan 12940|Kel. Karet Kuningan|Setiabudi|Kota Jakarta Selatan|DKI JAKARTA|12940
205|S1ADMG11BI|Wilayah Kota|KK TJ DUREN UTARA|100|ATM TUNAI|PERTOKOAN|-6.18254,106.783386|Jl. Tanjung Duren Raya  No 7D, Grogol, Jakarata Barat|Tanjung Duren|Grogol Petamburan|Kota Jakarta Barat|DKI JAKARTA|#N/A
221|S1ADPS12AB|Wilayah Denpasar|GALERY GATSU 3|100|ATM TUNAI|PERTOKOAN|-8.636060, 115.217427|Jl.Gatot Subroto Kav.79 Denpasar - Bali|Dauh Puri Kaja|Denpasar Utara|Kota Denpasar|Denpasar|80111
222|S1ADPS12CL|Wilayah Denpasar|GALERY GATSU 4|50|ATM TUNAI|PERTOKOAN|-8.636060, 115.217427|Jl.Gatot Subroto Kav.79 Denpasar - Bali|Dauh Puri Kaja|Denpasar Utara|Kota Denpasar|Denpasar|80111
223|S1ADPS12CN|Wilayah Denpasar|GALERY GATSU 5|100|ATM TUNAI|PERTOKOAN|-8.636060, 115.217427|Jl.Gatot Subroto Kav.79 Denpasar - Bali|Dauh Puri Kaja|Denpasar Utara|Kota Denpasar|Denpasar|80111
224|S1ADPS12KK|Wilayah Denpasar|KAMPUS TRIATMAJAYA DALUNG|100|ATM TUNAI|PENDIDIKAN|-8.631713, 115.176196|Jl. Raya Padang Luwih, Tegal Jaya Dalung , Denpasar - Bali|Benoa|Kuta Selatan|Kab. Badung|Denpasar|80361
225|S1ADPS12WW|Wilayah Denpasar|APOTIK GANA MEDIKA|100|ATM TUNAI|KESEHATAN|-8.664502, 115.197096|Jl. Gunung Lempuyang No.26 Monang - Maning Denpasar - Bali|Kesiman|Denpasar Timur|Kota Denpasar|Denpasar|80237
226|S1ADPS12YY|Wilayah Denpasar|SPBU ANTASURA|100|ATM TUNAI|SPBU/REST AREA|-8.6149191 '115.2272639|Jl. Antasura Denpasar - Bali|Peguyangan|Denpasar Utara|Kota Denpasar|Denpasar|80115
227|S1AFMI07AP|Wilayah BSd|PT. IQ PASAR JUMAT|50|ATM TUNAI|HOTEL/RESTORAN|-6.291182,106.771273|JL. BATAN 1 NO. 2 PASAR JUM`AT LEBAK BULUS JAKARTA SELATAN|LEBAK BULUS|CILANDAK|Kota Jakarta Selatan|DKI JAKARTA|12440
228|S1AFMI07AQ|Wilayah BSd|ALFA MIDI KEBAGUSAN|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|-6.29477,106.827351|JL. JATI PADANG RAYA KEBAGUSAN NO. 101 PASAR MINGGU|KEBAGUSAN|PASAR MINGGU|Kota Jakarta Selatan|DKI JAKARTA|12520
229|S1AFMI07AR|Wilayah BSd|FOOD HALL VILLA DELIMA|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|-6.3089588,106.7810527|JL. KARANG TENGAH INDAH RAYA, PERUMAHAN VILLA DELIMA BLOK A, SEBBCD, KEL. LEBAK BULUS, JAKARTA SELATAN|LEBAK BULUS|CILANDAK|Kota Jakarta Selatan|DKI JAKARTA|12440
230|S1AFMI07AS|Wilayah BSd|KOPERASI SEJATIMULIA|100|ATM TUNAI|INSTANSI/KANTOR|-6.285951,106.830019|JL. RAYA RAGUNAN NO. B1 JATIPADANG, PASAR MINGGU|JATI PADANG|PASAR MINGGU|Kota Jakarta Selatan|DKI JAKARTA|12540
231|S1AFMI07AT|Wilayah BSd|KLN CINERE BUSINESS CTR|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|-6.334737,106.782543|JL. CINERE RAYA NO. 20 BLOK. B1-B2 LIMO, DEPOK (RUKO CBC)|CINERE|CINERE|Kota Depok|Jawa Barat|16514
232|S1AFMI07AU|Wilayah BSd|HARMONI SWALAYAN|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|-6.263212,106.73527|JL. CEGER RAYA NO. 17 JURANG MANGU TIMUR, PD. AREN|JURANG MANGU TIMUR|PONDOK AREN|Kota Tangerang Selatan|Banten|15222
