
172|NANGKA PEKANBARU|0.503433,101.427412|JL TUANKU TAMBUSAI NO. 301 LT. 1 KAV. V PEKANBARU |28282|KOTA PEKANBARU|Kec. Bukit Raya|Kel. Tangkerang Barat|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 571620|(0761) 571620
173|PANGKALAN KERINCI|0.398112,101.857429|JL. RAYA LINTAS TIMUR RT.001/RW.009 PANGK.KERINCI - KAB. PELALAWAN|28381|KAB. PELALAWAN|#REF!|#N/A||Luar Jabodetabek|RIAU|SUMATERA|(0761) 493745, 493746|(0761) 493747
174|SIAK SRI INDRAPURA|0.793391,102.050607|JL. DR. SOETOMO UJUNG KAB. SIAK SRI INDRAPURA|28621|KAB. SIAK|kec. Siak|||Luar Jabodetabek|RIAU|SUMATERA|(0764) 320846, 320946|(0764) 320746
175|TANGKERANG D/H PASAR PUSAT PEKANBARU|0.505885,101.451579|JL. JEND. SUDIRMAN NO. 365 PEKANBARU |28127|KOTA PEKANBARU|Kec. Pekanbaru Kota|Kel. Simpang Empat|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 22457, 21346, 859746, 857725, 839654, 859818, 859657|(0761) 34292
176|BANGKINANG|0.345788,101.026867|JL. M. ALI  RASYID NO. 4 BANGKINANG |28411|KAB. KAMPAR|Kec. Bangkinang|Kel. Bangkinang||Luar Jabodetabek|RIAU|SUMATERA|(0762) 322123|(0762) 322789
177|SUKARAMAI PEKANBARU|0.528318,101.447124|JL. JEND. SUDIRMAN, PEKANBARU, PLAZA SUKARAMAI BLOK TB-12, |28112|KOTA PEKANBARU|Kec. Pekanbaru Kota|Kel. Kota Tinggi|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 856276, 856277|(0761) 856278
178|JL. A.YANI PEKANBARU |0.525397,101.44233|JL. JEND. A. YANI NO. 111 PEKANBARU |28155|KOTA PEKANBARU|#REF!|#N/A|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 33650|(0761) 33801
179|JALAN RIAU|0.535061,101.428335|JL. RIAU NO. 124 - 124A PEKANBARU|28154|KOTA PEKANBARU|Kec. Senapelan|kel. Kampung Baru|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 39340|(0761) 21724
180|PANAM|0.463695,101.411469|JL. SOEBRANTAS PANAM, PEKANBARU|28293|KOTA PEKANBARU|Kec. Tampan|Kel. Tampan|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 567360|(0761) 567043
181|PASIR PENGARAIAN|0.464167,100.80368|JL. TUANKU TAMBUSAI, PASIR PENGARAIAN, KAB. ROKAN HULU, RIAU|28559|KAB. ROKAN HULU|#REF!|#N/A||Luar Jabodetabek|RIAU|SUMATERA|(0762) 7392788,7392789|(0762) 7392790
182|MARPOYAN|0.509141,101.48243|JL. KAHARUDIN NASUTION MARPOYAN KM,11 PEKANBARU|28282|KOTA PEKANBARU|Kec. Bukit Raya|Kel. Tangkerang Barat|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761)73403|
183|HARAPAN RAYA|0.503133,101.482086|JL. HARAPAN RAYA, PEKANBARU|28282|KOTA PEKANBARU|Kec. Bukit Raya|Kel. Tangkerang Barat|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761)7891639|
184|PERAWANG|0.6722,101.60733|JL. RAYA PERAWANG KM 6, KEL. PERAWANG KOTA, KEC. TUALANG, KAB. SIAK|28772|KAB. SIAK|Kec. Tualang|Kel. Perawang Kota||Luar Jabodetabek|RIAU|SUMATERA|(0761) 92000, 92046|
185|KANDIS|1.132336,101.279241|JL LINTAS SUMATERA UTARA - RIAU KM. 80, KEL. KANDIS KOTA, KEC. KANDIS , KAB. SIAK|28686|KAB. SIAK|Kec. Kandis|||Luar Jabodetabek|RIAU|SUMATERA|(0761)598989|
186|ARIFIN AHMAD|0.4814,101.437596|JL. ARIFIN ACHMAD, KEL. SIDOMULYO, KEC. MARPOYAN, KOTA PEKANBARU|28125|KOTA PEKANBARU|Kec. Sukajadi|Kel. Wonorejo||Luar Jabodetabek|RIAU|SUMATERA|(0761)8415000|
187|UJUNG BATU|0.713138, 100.527133|JL. SUDIRMAN, UJUNG BATU, KAB. ROKAN HULU|28557|KAB. ROKAN HULU|Kec. Ujung Batu|#N/A||Luar Jabodetabek|RIAU|SUMATERA|(0762)7363846|(0762)7363946
188|HANGTUAH|0.519575, 101.482819|JL HANGTUAH NO.18 PEKANBARU|28112|KOTA PEKANBARU|Kec. Pekanbaru Kota|Kel. Kota Tinggi|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761)4922173|
193|PADANG|-0.950864,100.366479|JL. PROKLAMASI NO. 45 PADANG |25211|KOTA PADANG|Kec. Padang Selatan|Kel. Alang Lawas Koto|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 31946, 31948|(0751) 38346
194|AIR TAWAR DH UNIV. NEGERI PADANG|-0.896752, 100.351667|KOMPLEK IKIP JL. AIR TAWAR - PADANG|25132|KOTA PADANG|Kec. Padang Utara|Kel. Air Tawar Timur|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 41752, 57225|(0751) 41751
195|SITEBA D/H UNIV. BUNG HATTA|-0.896469,100.364339|JL. S. PARMAN NO. 236-I    -   PADANG|25143|KOTA PADANG|#N/A|#N/A|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 446960, 446962|(0751) 446830
196|DOBI|-0.954676,100.359629|JL. DOBI NO. 1 PADANG|25119|KOTA PADANG|Kec. Padang Barat|Kel. Kampung Dobi|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 31952,34439, 39606, 30450|(0751)  39754
197|PASAR BARU PADANG DH. UNIV. ANDALAS|-0.927312,100.430772|JL. DR. MOH. HATTA, PASAR BARU, KEC. PAUH, KOTA PADANG|25166|KOTA PADANG|Kec. Pauh|Pasar Baru|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 71260, 72620|
198|JALAN AHMAD YANI PADANG|-0.94243,100.359173|JL. JEND. A. YANI NO. 18 - PADANG|25112|KOTA PADANG|#REF!|Kel. Jao Dalam|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 22660, 33037|(0751) 37966, 32820
199|BANDAR BUAT D/H TELUK BAYUR|-0.950508,100.428497|JL. RAYA PADANG-INDARUNG RIMBO DATAR NO.31-32 BANDAR BUAT PADANG |25231|KOTA PADANG|Kec. Lubuk Kilangan|Kel. Bandar Buat|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 71777|(0751) 714444
200|PARIAMAN|-0.623084, 100.119915|JL. DIPONEGORO NO. 14 - PARIAMAN|25512|KOTA PARIAMAN|Kec. Pariaman Tengah|Kel. Kampung Pondok II||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 91346, 92646|(0751) 91146
201|SIMPANG EMPAT PASAMAN|0.10010,99.82322|JL. RAYA SIMPANG IV MANGGOPOH NO. 46 SIMPANG IV - PASAMAN|26566|KAB. PASAMAN|Kec. Kinali|Kel. Kinali||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0753) 65081, 65744|(0753) 65746
202|PASAR RAYA PADANG|-0.949442, 100.359798|JL. PASAR RAYA, PASAR BERTINGKAT FASE IV LANTAI II - PADANG|25112|KOTA PADANG|Kec. Padang Barat|Kel. Jao Dalam|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 812597, 812598|(0751) 812599
205|BY PASS PADANG|-0.948254, 100.400273|JL. BY PASS KM 06 KOTA PADANG|25161|KOTA PADANG|Kec. Pauh|Binuang Kampung Dalam|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751)779400|
206|VETERAN PADANG|-0.942422, 100.354716|JL. VETERAN NO. 10 KOTA PADANG|25112|KOTA PADANG|Kec. Padang Barat|Kel. Jao Dalam|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0781)38546|
212|PAYAKUMBUH|-0.225505,100.629653|JL. SOEKARNO HATTA NO.86 PAYAHKUMBUH |26222|KOTA PAYAKUMBUH|Kec. Payakumbuh Barat|Kel. Parit Rantang||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752) 92945, 92928,  94853, 92805|(0752) 92519
213|BATUSANGKAR|-0.45553,100.59309|JL. SOEKARNO HATTA NO. 3 - BATUSANGKAR, PAYAKUMBUH |27212|KAB. TANAH DATAR|Kec. V Kaum|Kel. Sigarunggung||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752) 72846, 72847, 72788|(0752) 72799
214|PASAR DANGUNG DANGUNG|-0.124896, 100.543046|JL. TAN MALAKA, PASAR DANGUNG DANGUNG|26253|KAB. LIMAPULUH KOTA|Kec. Guguak|Kel. Pincuran betung||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752)748946|(0752)748945
215|RENGAT|-0.37258,102.54571|JL. LETJEN S. PARMAN NO. 55 & 57 RENGAT KEL. KAMPUNG BESAR KOTA (KAMBESKO) KEC. RENGAT, KAB. INDRAGIRI HULU. PROP. RIAU.|29311|KAB. INDRAGIRI HULU|Kec. Rengat|Kel. Kampung Besar Kota||Luar Jabodetabek|RIAU|SUMATERA|(0769) 21008, 21057, 21126, 22151, 323846, 323946, 323150, 21044|(0769) 21471
216|TELUK KUANTAN|-0.52646,101.57213|JL. TUANKU TAMBUSAI NO.46, TALUK KUANTAN|29362|KAB. KUANTAN SINGINGI|Kec. Peranap|||Luar Jabodetabek|RIAU|SUMATERA|(0760) 20046|(0760) 20179
217|AIR MOLEK|-0.37251,102.29299|JL. JEND. SUDIRMAN DESA AIR MOLEK II KEC. PASIR PENYU KAB. INDRAGIRI HULU|29352|KAB. INDRAGIRI HULU|Kec. Pasir Penyu|Kel. Air Molek II||Luar Jabodetabek|RIAU|SUMATERA|(0769) 41856|(0769) 442100
218|BELILAS|-0.52047, 102.416611|JL. LINTAS TIMUR BELILAS, KEL. PANGKALAN KASAI, KEC. SIBERIDA, KAB. INDRAGIRI HULU|29371|KAB. INDRAGIRI HULU|Kec. Siberida|Kel. Pangkalan Kasai||Luar Jabodetabek|RIAU|SUMATERA|(0769) 324106|(0769) 324076
219|UKUI|-0.148953, 102.180668|JL. LINTAS TIMUR, KEC. UKUI, KAB. PELALAWAN|28382|KAB. PELALAWAN|Kec. Pangkalan Kuras|||Luar Jabodetabek|RIAU|SUMATERA|(0769)7445191|(0769)7445192
220|SOREK|0.130978, 102.073543|JL. LINTAS TIMUR SOREK NO.21 KAB. PELALAWAN|28382|KAB. PELALAWAN|Kec. Pangkalan Kuras|||Luar Jabodetabek|RIAU|SUMATERA|(0761)46155|
222|SOLOK|-0.78888,100.65789|JL. KH. AHMAD DAHLAN NO. 99  KELURAHAN PASAR PANDAN AIR MATI, KECAMATAN TANJUNG HARAPAN, KOTA SOLOK|27324|KOTA SOLOK|Kec. Tanjung Harapan|Kel. Pasar Pandan Air Mati||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0755) 22815, 22816, 324846|(0755) 324847
